,POA_CODE21,POA_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area,LATITUDE,LONGITUDE,IRE_CODE21,IRE_NAME21,SED_CODE22,SED_NAME22,CED_CODE21,CED_NAME21,STE_CODE21,IAR_CODE21,IAR_NAME21,ILO_CODE21,ILO_NAME21
0,800,800,AUS,Australia,3.1731,http://linked.data.gov.au/dataset/asgsed3/POA/0800,0.0818928754197,0.000263898689344,-12.461860015472247,130.84373723093344,703.0,Darwin,70022.0,Port Darwin,702.0,Solomon,7.0,703005.0,Darwin - Inner Suburbs,70300501.0,Darwin - Central
1,810,810,AUS,Australia,24.4283,http://linked.data.gov.au/dataset/asgsed3/POA/0810,0.241859199671,0.00203051956323,-12.369772248700256,130.87665186285423,703.0,Darwin,70008.0,Casuarina,702.0,Solomon,7.0,703001.0,Alawa - Brinkin - Nakara,70300102.0,Brinkin - Nakara
2,812,812,AUS,Australia,35.8899,http://linked.data.gov.au/dataset/asgsed3/POA/0812,0.278788498785,0.00298326491157,-12.377661790946108,130.91450175757024,703.0,Darwin,70025.0,Wanguri,702.0,Solomon,7.0,703014.0,Tiwi - Lyons - Leanyer,70301401.0,Lyons - Lee Point - Leanyer
3,820,820,AUS,Australia,39.0642,http://linked.data.gov.au/dataset/asgsed3/POA/0820,0.40913400972,0.00324767063304,-12.423396342594923,130.8649753316065,703.0,Darwin,70012.0,Fong Lim,702.0,Solomon,7.0,703009.0,Marrara - Winnellie - Berrimah,70300901.0,Marrara - Winnellie - Berrimah
4,822,822,AUS,Australia,150775.803,http://linked.data.gov.au/dataset/asgsed3/POA/0822,90.6018310423,12.5642382212,-13.020916476198972,132.88371988734673,704.0,Jabiru - Tiwi,70001.0,Arafura,701.0,Lingiari,7.0,704002.0,Kakadu - Marrakai - Jabiru,70400202.0,Kakadu - Marrakai - Surrounds
5,828,828,AUS,Australia,28.6532,http://linked.data.gov.au/dataset/asgsed3/POA/0828,0.246298859951,0.00238217099071,-12.42825506875835,130.93958540410426,703.0,Darwin,70020.0,Nelson,701.0,Lingiari,7.0,703007.0,Litchfield,70300706.0,Knuckey Lagoon
6,829,829,AUS,Australia,44.8402,http://linked.data.gov.au/dataset/asgsed3/POA/0829,0.306927000606,0.003728299776,-12.449220085052334,131.0018472583242,703.0,Darwin,70020.0,Nelson,701.0,Lingiari,7.0,703007.0,Litchfield,70300704.0,Howard Springs - Gunn Point
7,830,830,AUS,Australia,235.004,http://linked.data.gov.au/dataset/asgsed3/POA/0830,1.38498281675,0.01953482157,-12.387077983404636,131.0404063289677,703.0,Darwin,70020.0,Nelson,701.0,Lingiari,7.0,703007.0,Litchfield,70300704.0,Howard Springs - Gunn Point
8,832,832,AUS,Australia,19.7272,http://linked.data.gov.au/dataset/asgsed3/POA/0832,0.196642713629,0.00164055074459,-12.51269187638961,130.996825484889,703.0,Darwin,70024.0,Spillett,701.0,Lingiari,7.0,703013.0,Palmerston,70301301.0,Bakewell - Rosebery - Mitchell
9,834,834,AUS,Australia,32.6302,http://linked.data.gov.au/dataset/asgsed3/POA/0834,0.261017010952,0.00271402831805,-12.546843444693874,131.02350891564046,703.0,Darwin,70013.0,Goyder,701.0,Lingiari,7.0,703007.0,Litchfield,70300702.0,Bees Creek - Virginia
